CVE_ENT,CVE_MUN,NOM_ENT,NOM_MUN,NOMTIPO,COBERTURA,GM,FACTOR_UNO,MUN_AFRO,PTOT,PTOT*,P3MAS,P3MAS*,PIND,PIND*,RESP,RESP*,PHLI,PHLI*,PADI,PADI*,PAFRO,PAFRO*,P3a17T,P3a17T*,P3a17I,P3a17I*,P3a17R,P3a17R*,P3a17HLI,P3a17HLI*,P3a17AI,P3a17AI*,P3a17AF,P3a17AF*,P3a5T,P3a5T*,P3a5I,P3a5I*,P3a5R,P3a5R*,P3a5HLI,P3a5HLI*,P3a5AI,P3a5AI*,P6a11T,P6a11T*,P6a11I,P6a11I*,P6a11R,P6a11R*,P6a11HLI,P6a11HLI*,P6a11AI,P6a11AI*,P12a14T,P12a14T*,P12a14I,P12a14I*,P12a14R,P12a14R*,P12a14HLI,P12a14HLI*,P12a14AI,P12a14AI*,P15a17T,P15a17T*,P15a17I,P15a17I*,P15a17R,P15a17R*,P15a17HLI,P15a17HLI*,P15a17AI,P15a17AI*,PA3a17T,PA3a17T*,PA3a17I,PA3a17I*,PA3a17R,PA3a17R*,PA3a17HLI,PA3a17HLI*,PA3a17AI,PA3a17AI*,PA3a5T,PA3a5T*,PA3a5I,PA3a5I*,PA3a5R,PA3a5R*,PA3a5HLI,PA3a5HLI*,PA3a5AI,PA3a5AI*,PA6a11T,PA6a11T*,PA6a11I,PA6a11I*,PA6a11R,PA6a11R*,PA6a11HLI,PA6a11HLI*,PA6a11AI,PA6a11AI*,PA12a14T,PA12a14T*,PA12a14I,PA12a14I*,PA12a14R,PA12a14R*,PA12a14HLI,PA12a14HLI*,PA12a14AI,PA12a14AI*,PA15a17T,PA15a17T*,PA15a17I,PA15a17I*,PA15a17R,PA15a17R*,PA15a17HLI,PA15a17HLI*,PA15a17AI,PA15a17AI*,PANALF_T,PANALF_T*,PANALF_I,PANALF_I*,PANALF_R,PANALF_R*,PANALF_HLI,PANALF_HLI*,PANALF_AI,PANALF_AI*,PANALF_AF,PANALF_AF*,PEB_20a29_T,PEB_20a29_T*,PEB_20a29_I,PEB_20a29_I*,PEB_20a29_R,PEB_20a29_R*,PEB_20a29_HLI,PEB_20a29_HLI*,PEB_20a29_AI,PEB_20a29_AI*,PEMS_20a29_T,PEMS_20a29_T*,PEMS_20a29_I,PEMS_20a29_I*,PEMS_20a29_R,PEMS_20a29_R*,PEMS_20a29_HLI,PEMS_20a29_HLI*,PEMS_20a29_AI,PEMS_20a29_AI*,P_P,P_PE,P_PM,P_VC,P_VI,P_NP
01,009,Aguascalientes,Tepezalá,Municipio con población indígena dispera,Municipio muestreado,Bajo,0,0,20926,,19549,,97,*,20829,,44,*,3468,,n.a.,,6763,,36,*,6727,,20,*,1013,,n.a.,,1489,,n.a.,,n.a.,,n.a.,,n.a.,,2595,,n.a.,,n.a.,,n.a.,,n.a.,,1438,,n.a.,,n.a.,,n.a.,,n.a.,,1241,,n.a.,,n.a.,,n.a.,,n.a.,,5772,,n.a.,,n.a.,,n.a.,,n.a.,,906,,n.a.,,n.a.,,n.a.,,n.a.,,2563,,n.a.,,n.a.,,n.a.,,n.a.,,1368,,n.a.,,n.a.,,n.a.,,n.a.,,935,,n.a.,,n.a.,,n.a.,,n.a.,,588,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,2883,,n.a.,,n.a.,,n.a.,,n.a.,,1410,,n.a.,,n.a.,,n.a.,,n.a.,,10378,643,9735,6393,1447,2266
01,010,Aguascalientes,El Llano,Municipio con población indígena dispera,Municipio muestreado,Bajo,0,0,20245,,18921,,30,*,20215,,14,*,936,,n.a.,,6560,,16,*,6544,,6,*,237,*,n.a.,,1254,,n.a.,,n.a.,,n.a.,,n.a.,,2586,,n.a.,,n.a.,,n.a.,,n.a.,,1402,,n.a.,,n.a.,,n.a.,,n.a.,,1318,,n.a.,,n.a.,,n.a.,,n.a.,,5410,,n.a.,,n.a.,,n.a.,,n.a.,,640,,n.a.,,n.a.,,n.a.,,n.a.,,2562,,n.a.,,n.a.,,n.a.,,n.a.,,1330,,n.a.,,n.a.,,n.a.,,n.a.,,878,,n.a.,,n.a.,,n.a.,,n.a.,,669,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,2723,,n.a.,,n.a.,,n.a.,,n.a.,,1121,,n.a.,,n.a.,,n.a.,,n.a.,,10988,1064,9924,5181,1627,2158
01,011,Aguascalientes,San Francisco de los Romo,Municipio con población indígena dispera,Municipio muestreado,Muy bajo,0,0,46454,,43109,,234,*,46220,,92,*,10246,,n.a.,,15616,,69,*,15547,,0,,3269,,n.a.,,3483,,n.a.,,n.a.,,n.a.,,n.a.,,6217,,n.a.,,n.a.,,n.a.,,n.a.,,3234,,n.a.,,n.a.,,n.a.,,n.a.,,2682,,n.a.,,n.a.,,n.a.,,n.a.,,12664,,n.a.,,n.a.,,n.a.,,n.a.,,1864,,n.a.,,n.a.,,n.a.,,n.a.,,6102,,n.a.,,n.a.,,n.a.,,n.a.,,2983,,n.a.,,n.a.,,n.a.,,n.a.,,1715,,n.a.,,n.a.,,n.a.,,n.a.,,884,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,6738,,n.a.,,n.a.,,n.a.,,n.a.,,2871,,n.a.,,n.a.,,n.a.,,n.a.,,14138,801,13337,12804,6176,12034
02,000,Baja California,Total estatal,,,,,,3315766,,3152304,,104088,,3211678,,45854,,283055,,7445,*,904029,,32252,,871777,,6203,*,63503,,1396,*,178154,,6616,*,171538,,1033,*,12026,,359510,,13194,,346316,,2248,*,24759,,188042,,6079,*,181963,,1476,*,13220,,178323,,6363,*,171960,,1446,*,13498,,760997,,24848,,736149,,4231,,50938,,91601,,2663,*,88938,,497,*,5498,*,351698,,12780,,338918,,2019,,23961,,178632,,5415,,173217,,1160,*,12143,,139066,,3990,,135076,,555,*,9336,,47377,,7489,,39888,,6293,*,11601,,106,*,491942,,12516,,479426,,4666,,34220,,298206,,6421,,291785,,2100,*,18119,,1021966,73527,948439,1181379,276419,1019709
02,001,Baja California,Ensenada,Municipio con presencia indígena,Municipio muestreado,Muy bajo,0,0,486639,,462140,,48550,,438089,,23532,,87804,,n.a.,,133485,,16004,,117481,,3961,*,23538,,n.a.,,25865,,3214,*,22651,,588,*,3785,*,53190,,6746,,46444,,1647,*,9280,,26943,,2731,*,24212,,728,*,4955,*,27487,,3313,*,24174,,998,*,5518,*,111920,,11802,,100118,,2260,*,18158,,13893,,1149,*,12744,,104,*,1542,*,52187,,6462,,45725,,1422,,8923,,25227,,2309,,22918,,425,*,4299,,20613,,1882,*,18731,,309,*,3394,,12681,,5411,*,7270,*,4824,*,7122,*,n.a.,,69770,,4895,,64875,,1786,*,9762,,42949,,2553,*,40396,,766,*,4971,*,190776,19951,170825,211512,37720,129417
02,002,Baja California,Mexicali,Municipio con presencia indígena,Municipio muestreado,Muy bajo,0,0,988417,,941669,,11852,*,976565,,5934,*,45956,,n.a.,,263998,,3039,*,260959,,740,*,8484,,n.a.,,52444,,581,*,51863,,47,*,1940,*,104659,,986,*,103673,,198,*,3302,*,55063,,815,*,54248,,437,*,1427,*,51832,,657,*,51175,,58,*,1815,*,225269,,2395,,222874,,719,,6968,,29526,,208,*,29318,,47,,1002,*,102072,,940,,101132,,198,,3248,,52722,,786,,51936,,437,,1359,,40949,,461,*,40488,,37,*,1359,*,11250,,454,*,10796,,304,*,874,*,n.a.,,149561,,1770,*,147791,,1071,*,6428,,91552,,861,*,90691,,428,*,3382,*,260649,17589,243059,322673,82859,348807
02,003,Baja California,Tecate,Municipio con presencia indígena,Municipio muestreado,Muy bajo,0,0,102406,,97355,,2608,*,99798,,971,*,12812,,n.a.,,29441,,829,*,28612,,123,*,3006,,n.a.,,5804,,156,*,5648,,3,*,646,*,11214,,372,*,10842,,97,*,1096,*,6096,,179,*,5917,,12,*,694,*,6327,,122,*,6205,,11,*,570,*,25462,,741,,24721,,121,,2667,,3538,,80,*,3458,,2,*,411,*,11037,,371,,10666,,97,,1092,,5902,,179,,5723,,12,,694,,4985,,111,*,4874,,10,*,470,*,1715,*,38,*,1677,*,37,*,288,*,n.a.,,14736,,314,*,14422,,43,*,1479,,8650,,133,*,8517,,25,*,705,*,29534,1932,27602,41536,7913,31887
02,004,Baja California,Tijuana,Municipio con presencia indígena,Municipio muestreado,Muy bajo,0,0,1641570,,1559361,,37222,,1604348,,13919,,126618,,n.a.,,449489,,11165,,438324,,1248,*,26399,,n.a.,,88887,,2427,*,86460,,395,*,5287,*,179562,,4670,*,174892,,258,*,10304,,94150,,2079,*,92071,,292,*,5686,*,86890,,1989,*,84901,,303,*,5122,*,375022,,8921,,366101,,1022,*,21482,,41792,,1107,*,40685,,344,*,2361,*,175807,,4587,,171220,,254,,9960,,89323,,1877,,87446,,279,,5374,,68100,,1350,*,66750,,145,*,3787,,20130,,1446,*,18684,,1039,*,2993,*,n.a.,,244845,,5166,,239679,,1682,*,15478,,147848,,2765,*,145083,,864,*,8440,,499136,30931,468205,560859,141855,491643
02,005,Baja California,Playas de Rosarito,Municipio con presencia indígena,Municipio muestreado,Muy bajo,0,0,96734,,91779,,3856,,92878,,1498,*,9865,,n.a.,,27616,,1215,*,26401,,131,*,2076,*,n.a.,,5154,,238,*,4916,,0,,368,*,10885,,420,*,10465,,48,*,777,*,5790,,275,*,5515,,7,*,458,*,5787,,282,*,5505,,76,*,473,*,23324,,989,,22335,,109,*,1663,,2852,,119,*,2733,,n.a.,,182,*,10595,,420,,10175,,48,,738,,5458,,264,,5194,,7,,417,,4419,,186,*,4233,,54,*,326,*,1601,*,140,*,1461,*,89,*,324,*,n.a.,,13030,,371,*,12659,,84,*,1073,,7207,,109,*,7098,,17,*,621,*,41871,3124,38747,44800,6071,17955
03,000,Baja California Sur,Total estatal,,,,,,712029,,675676,,23456,,688573,,10319,,103034,,11032,,190510,,6635,,183875,,948,*,24521,,2288,*,39370,,1619,*,37751,,170,*,5165,,76296,,2700,*,73596,,329,*,9861,,37967,,1237,*,36730,,158,*,4817,,36877,,1079,*,35798,,291,*,4678,,163510,,5149,,158361,,629,*,20373,,22739,,817,*,21922,,92,*,2999,,74583,,2565,,72018,,307,,9483,,36741,,1161,,35580,,133,*,4591,,29447,,606,*,28841,,97,*,3300,,12985,,1794,*,11191,,1446,*,3840,*,563,*,104763,,3129,,101634,,1593,*,14918,,63782,,1073,*,62709,,343,*,8181,,215109,19069,196040,268907,48699,237495
03,001,Baja California Sur,Comondú,Municipio con población indígena dispera,Municipio muestreado,Bajo,0,0,72564,,69201,,1711,,70853,,849,*,11275,,n.a.,,19769,,507,*,19262,,144,*,2781,,n.a.,,3613,,n.a.,,n.a.,,n.a.,,n.a.,,8116,,n.a.,,n.a.,,n.a.,,n.a.,,4188,,n.a.,,n.a.,,n.a.,,n.a.,,3852,,n.a.,,n.a.,,n.a.,,n.a.,,17177,,n.a.,,n.a.,,n.a.,,n.a.,,2120,,n.a.,,n.a.,,n.a.,,n.a.,,7966,,n.a.,,n.a.,,n.a.,,n.a.,,3986,,n.a.,,n.a.,,n.a.,,n.a.,,3105,,n.a.,,n.a.,,n.a.,,n.a.,,2670,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,9316,,n.a.,,n.a.,,n.a.,,n.a.,,5694,,n.a.,,n.a.,,n.a.,,n.a.,,31982,2617,29366,26355,5590,18518
03,002,Baja California Sur,Mulegé,Municipio con presencia indígena,Municipio muestreado,Bajo,0,1,60171,,56803,,6274,,53897,,3266,,9405,,6379,,16575,,1846,,14729,,332,*,2640,,1808,,3527,,475,*,3052,,39,*,605,*,6624,,686,*,5938,,117,*,1100,*,3384,,371,*,3013,,86,*,510,*,3040,,314,*,2726,,90,*,425,*,13782,,1328,,12454,,206,*,2035,,1913,,270,*,1643,,29,*,378,*,6408,,602,,5806,,98,*,1045,,3144,,319,*,2825,,66,*,416,*,2317,,137,*,2180,,13,*,196,*,2166,,851,*,1315,*,739,*,879,*,427,*,6995,,576,*,6419,,441,*,992,*,3861,,123,*,3738,,86,*,299,*,18143,1374,16769,25422,4682,16949
03,003,Baja California Sur,La Paz,Municipio con población indígena dispera,Municipio muestreado,Muy bajo,0,0,272711,,260109,,4275,*,268436,,1747,*,33902,,n.a.,,66540,,1075,*,65465,,162,*,7711,,n.a.,,13744,,n.a.,,n.a.,,n.a.,,n.a.,,26478,,n.a.,,n.a.,,n.a.,,n.a.,,13662,,n.a.,,n.a.,,n.a.,,n.a.,,12656,,n.a.,,n.a.,,n.a.,,n.a.,,58103,,n.a.,,n.a.,,n.a.,,n.a.,,8758,,n.a.,,n.a.,,n.a.,,n.a.,,25971,,n.a.,,n.a.,,n.a.,,n.a.,,13310,,n.a.,,n.a.,,n.a.,,n.a.,,10064,,n.a.,,n.a.,,n.a.,,n.a.,,3812,*,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,42085,,n.a.,,n.a.,,n.a.,,n.a.,,28691,,n.a.,,n.a.,,n.a.,,n.a.,,71306,5093,66213,88214,21204,112963
03,008,Baja California Sur,Los Cabos,Municipio con presencia indígena,Municipio muestreado,Muy bajo,0,0,287671,,271544,,10921,,276750,,4330,*,46719,,n.a.,,82603,,3134,*,79469,,303,*,11055,,n.a.,,17529,,751,*,16778,,72,*,2309,*,32957,,1352,*,31605,,85,*,4361,*,15706,,544,*,15162,,32,*,2132,*,16411,,487,*,15924,,114,*,2253,*,70016,,2456,,67560,,183,*,9022,,9332,,303,*,9029,,19,*,1272,*,32151,,1322,,30829,,85,,4141,,15300,,527,,14773,,32,,2034,,13233,,304,*,12929,,47,*,1575,*,3994,*,444,*,3550,*,355,*,1246,*,n.a.,,44016,,1841,*,42175,,886,*,7605,,24016,,651,*,23365,,134,*,3992,,84571,9243,75328,123591,15090,83585
03,009,Baja California Sur,Loreto,Municipio con población indígena dispera,Municipio muestreado,Muy bajo,0,0,18912,,18019,,275,*,18637,,127,*,1733,,n.a.,,5023,,73,*,4950,,7,*,334,*,n.a.,,957,,n.a.,,n.a.,,n.a.,,n.a.,,2121,,n.a.,,n.a.,,n.a.,,n.a.,,1027,,n.a.,,n.a.,,n.a.,,n.a.,,918,,n.a.,,n.a.,,n.a.,,n.a.,,4432,,n.a.,,n.a.,,n.a.,,n.a.,,616,,n.a.,,n.a.,,n.a.,,n.a.,,2087,,n.a.,,n.a.,,n.a.,,n.a.,,1001,,n.a.,,n.a.,,n.a.,,n.a.,,728,,n.a.,,n.a.,,n.a.,,n.a.,,343,*,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,2351,,n.a.,,n.a.,,n.a.,,n.a.,,1520,,n.a.,,n.a.,,n.a.,,n.a.,,9107,742,8365,5324,2133,5481
04,000,Campeche,Total estatal,,,,,,899931,,850669,,199335,,700596,,97953,,400811,,3554,*,244837,,54516,,190321,,11639,,105975,,461,*,51365,,11187,,40178,,1334,,21806,,95949,,21171,,74778,,4349,,41553,,49301,,10912,,38389,,2829,,21598,,48222,,11246,,36976,,3127,,21018,,208635,,47021,,161614,,9831,,92317,,34958,,8222,,26736,,1076,,15855,,93295,,20849,,72446,,4223,,40874,,45386,,10150,,35236,,2604,,20099,,34996,,7800,,27196,,1928,,15489,,43494,,19777,,23717,,17044,,27039,,220,*,134146,,28007,,106139,,11436,,57074,,80665,,15582,,65083,,5582,,31432,,383770,64890,318880,292036,42394,193586
04,001,Campeche,Calkiní,Municipio indígena,Municipio muestreado,Medio,0,0,56537,,53649,,45686,,10851,,27193,,50632,,n.a.,,14906,,11783,,3123,,3541,,13202,,n.a.,,2872,,2249,,623,*,371,*,2628,,6053,,4752,,1301,,1281,,5332,,3034,,2458,,576,*,903,,2672,,2947,,2324,,623,*,986,,2570,,13557,,10659,,2898,,3118,,12025,,2323,,1813,,510,,302,,2127,,5989,,4696,,1293,,1257,,5296,,2925,,2357,,568,,859,,2595,,2320,,1793,,527,,700,,2007,,4597,,4476,,121,*,4229,,4414,,n.a.,,8716,,6965,,1751,,3623,,7647,,5632,,4411,,1221,,1867,,4862,,30907,6736,24170,13066,2040,7073
